class-name,title,description,top-category,category,origin,use-cases,chained-class,parent-class,element
td .active,Table Row Active,"The active class is applied to the navigation element the user is currently viewing. In the case of your code, the user is viewing the profile. It will serve as a guide or reminder to where in the website the visitor is in. That is why the active class is applied, which comes handy when viewing a website with many navigation links.",CSS,tables-contextual-classes,bootstrap,,-,.table,"td, tr"
.navbar-nav li .active,Navbar Link Active,"The active class is applied to the navigation element the user is currently viewing. In the case of your code, the user is viewing the profile. It will serve as a guide or reminder to where in the website the visitor is in. That is why the active class is applied, which comes handy when viewing a website with many navigation links.",Component,navbar,bootstrap,,-,".navbar-nav, .nav",li
.list-group-item .active,List Group Item Active,Adds a blue background color to the active list item in a list group,Component,list-group-contextual-classes,bootstrap,,.list-group-item,.list-group,"li, button, a"
.btn .active,Button Active,"Adds a blue background color to simulate a ""pressed"" button",CSS,buttons-active,bootstrap,,.btn,-,"input, button, a"
.progress-bar .active,Progress Bar active,Animates a striped progress bar,Component,progress-animated,bootstrap,,.progress-bar,.progress,div
.dropdown .active,Dropdown link active,Adds a blue background color to the active dropdown item in a dropdown,Component,dropdowns,bootstrap,,-,.dropdown,li
.pagination .active,Pagination Link active,Adds a blue background color to the active pagination link (to highlight the current page),Component,pagination,bootstrap,,-,.pagination,li
.affix,Affix ,"The affix plugin toggles position: fixed; on and off, emulating the effect found with position: sticky;. The sub navigation on the right is a live demo of the affix plugin.",Javascript,affix,bootstrap,,-,-,-
.alert,Alert,"Provide contextual feedback messages for typical user actions with the handful of available and flexible alert messages. Alerts are available for any length of text, as well as an optional dismiss button.",Component,alerts,bootstrap,,alert-color,-,div
.alert-danger,Alert Danger, alert-danger class is red alert box Indicates a dangerous or potentially negative action. Add the class .alert-danger to the .alert base class to create error or danger alerts.,Component,alerts,bootstrap,,.alert,-,div
.alert-dismissable,Alert Dismissable,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as red background color.,Component,alerts,bootstrap,,.alert,-,div
.alert-info,Alert Info,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as blue background color.,Component,alerts,bootstrap,,.alert,-,div
.alert-link,Alert Link,When you add links inside alert this class matches the font color to the parent alert class.,Component,alerts,bootstrap,,.alert,-,div
.alert-success,Alert Success,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as green background color.,Component,alerts,bootstrap,,.alert,-,div
.alert-warning,Alert Warning,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as yellow background color.,Component,alerts,bootstrap,,.alert,-,div
.avatar,Avatar,"initial avatar class. This class includes all the features like avatar font size, alignment. The default size of this avatar is 32px",Component,avatar,bootstrap-essentials,,-,-,"span, div, img"
.avatar-16,Avatar 16px,Avatar class for 16 px. Commonly used to display number of users  invoved in an activity,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-24,Avatar 24px,Avatar class of 24px. This size is  used to display subscriptions in navigaton or active users,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-32,Avatar 32px,Standard Avatar size for navbar or navmenu,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-48,Avatar 48px,Avatar class for 48 px. Best used in media object and list ,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-64,Avatar 64px,Avatar class for 64 px. Can be used in media object or profile page,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-96,Avatar 96px,An alternate avatar size for navbar dropdown (gmail) for almost 100px ,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-128,Avatar 128px,standard avatar size for profile page,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.b,Border,".b is border class, Border option provides the ability to sectionize a content and display in better way. Here .b provides border for all sides.",CSS,borders,bootstrap-essentials,,-,-,*
.b-0,No Border,".b-0 is no border class, it does not provide a border, the class .b-0 will remove all the borders.",CSS,borders-no-border,bootstrap-essentials,,-,-,*
.bt,Border Top,".bt is a border class, which only provides border on top. bt stands for border top.",CSS,borders,bootstrap-essentials,,-,-,*
.bt-0,No Border Top,".bt-0 in no border class, it removes top border.",CSS,borders-no-border,bootstrap-essentials,,-,-,*
.br,Border Right,.br class will give only right side border.,CSS,borders,bootstrap-essentials,,-,-,*
.br-0,No Border Right,.br-0 class will remove only right side border,CSS,borders-no-border,bootstrap-essentials,,-,-,*
.bb,Border Bottom,.bb class will give only border only in bottom.,CSS,borders,bootstrap-essentials,,-,-,*
.bb-0,No Border Bottom,.bb-0 class will remove only bottom border.,CSS,borders-no-border,bootstrap-essentials,,-,-,*
.bl,Border Left,.bl class will work with left side border.,CSS,borders,bootstrap-essentials,,-,-,*
.bl-0,No Border Left,.bl-0 class will remove only left side border.,CSS,borders-no-border,bootstrap-essentials,,-,-,*
.btn-file,File input Button,Button for file input,CSS,buttons,bootstrap-essentials,,-,-,*
.btn-circle,Buttons Circle,.btn-circle class is used to make the buttons in circle shape.,CSS,buttons-circle,bootstrap-essentials,,".btn, .btn-color",-,"button
input
a"
.btn-rounded,Button Rounded,.btn-rounded class will convert the left and right edges in rounded shape.,CSS,buttons-rounded,bootstrap-essentials,,".btn, .btn-color",-,"button
input
a"
.btn-outline,Button Outline,.btn-outline class is used to make the buttons with outline.,CSS,buttons-outline,bootstrap-essentials,,".btn, .btn-color",-,"button
input
a"
.bg-img,Background Image Cover,This class includes the basic configuration required to set a background cover image on a selected element. You just need to define background-image CSS property along with this class.,CSS,helpers,bootstrap-essentials,,-,-,div
.bg-jumbotron,Jumbotron Background Color,"jumbotron Background color, .bg-jumbotron class is used to make the background color in light gray(jumbotron color).",CSS,helpers,bootstrap-essentials,,-,-,div
.bg-transparent,Transparent Background Color,"Make background transparent. Its a utility that can be used on list groups, tabs, panel heading.",CSS,helpers,bootstrap-essentials,,-,-,div
.bg-well,Well Background color, .bg-well class is used to make the background color in well color.,CSS,helpers,bootstrap-essentials,,-,-,div
.bg-white,White Background Color,.br-white will make the background color to white.,CSS,helpers,bootstrap-essentials,,-,-,div
.badge,Badge,Used to show new or unread messages or items like the iOS red icon showing new messages or email.,Component,badges,bootstrap,,-,-,span
.bg-danger,Danger Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a orange background color to an element.",CSS,helpers,bootstrap,,-,-,div
.bg-info,Info Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a light-blue background color to an element. Represents some information",CSS,helpers,bootstrap,,-,-,div
.bg-primary,Primary Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a blue background color to an element.",CSS,helpers,bootstrap,,-,-,div
.bg-success,Success Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a green background color to an element. Which indicates success or a positive action.",CSS,helpers,bootstrap,,-,-,div
.bg-warning,Warning Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a yellow background color to an element. ",CSS,helpers,bootstrap,,-,-,div
.breadcrumb,Breadcrumbs,A pagination. Indicates the current pages location within a navigational hierarchy,Component,breadcrumbs,bootstrap,,-,-,ol
.btn,Common Button Class ,This class creates a basic button (gray background and rounded corners) and also sets the spacing and size of the button.,CSS,buttons,bootstrap,,-,-,"button,  a, input"
.btn-block,Button Block,Creates a block level button that spans the entire width of the parent element.,CSS,buttons-sizes,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-block-xs,Button Block for mobile devices,Creates a block level button that spans the entire width of the parent element in mobile screens.,CSS,buttons-sizes,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-danger,Button Danger,It defaults to a red background button. Which Indicates danger or a negative action.,CSS,buttons-options,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-default,Button Default,It defaults to a white background button with dark gray border.,CSS,buttons,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-group,Button Group,Smushes multiple buttons together to make a pill shape. Each button is separated by a vertical line.,Component,btn-groups,bootstrap,,".btn-group-justified, .btn-group-lg,  .btn-group-sm, .btn-group-xs, .btn-group-vertical",-,div
.btn-group-justified,Justified Button Group,Make a group of buttons stretch at equal sizes to span the entire width of its parent. Also works with button dropdowns within the button group.,Component,btn-groups-justified,bootstrap,,".btn-group
",-,div
